Date;Description;Status;productSlug (metadata);customer_id;order__id
24.05.2024 16:57;Subscription creation;Paid;kajodataspace;51;52
24.05.2024 16:37;Pakiet nagrañ 5 webinarów: Zmiana bran¿y i praca analityka;Paid;pakiet-webinarow-zmiana-pracy-na-analityka;52;53
24.05.2024 16:35;Subscription creation;Paid;kajodataspace;53;54
24.05.2024 16:31;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;52;55
24.05.2024 16:08;KajoDataSpace;Paid;kajodataspace;54;56
24.05.2024 15:53;Subscription creation;Paid;kajodataspace;55;57
24.05.2024 12:59;Subscription creation;Paid;kajodataspace;56;58
24.05.2024 12:58;Subscription creation;Failed;kajodataspace;56;58
24.05.2024 12:48;KajoDataSpace;Paid;kajodataspace;57;59
23.05.2024 21:43;Subscription creation;Paid;kajodataspace;58;60
23.05.2024 20:54;Subscription creation;Paid;kajodataspace;59;61
23.05.2024 19:45;KajoDataSpace;Paid;kajodataspace;60;62
23.05.2024 19:22;Subscription creation;Paid;kajodataspace;61;63
23.05.2024 18:46;Subscription creation;Paid;kajodataspace;62;64
23.05.2024 18:46;KajoDataSpace;Paid;kajodataspace;63;65
23.05.2024 13:48;Subscription creation;Paid;kajodataspace;64;66
23.05.2024 11:35;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;65;67
23.05.2024 06:55;Subscription creation;Paid;kajodataspace;66;68
22.05.2024 18:27;Subscription creation;Paid;kajodataspace;67;69
22.05.2024 14:45;Subscription creation;Paid;kajodataspace;68;70
22.05.2024 09:46;KajoDataSpace;Paid;kajodataspace;69;71
21.05.2024 19:14;KajoDataSpace;Paid;kajodataspace;70;72
21.05.2024 18:44;KajoDataSpace;Paid;kajodataspace;71;73
20.05.2024 14:33;Subscription creation;Paid;kajodataspace;72;74
20.05.2024 12:16;Subscription creation;Paid;kajodataspace;73;75
19.05.2024 12:43;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;46;76
17.05.2024 10:55;Subscription creation;Paid;kajodataspace;74;77
17.05.2024 09:55;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;75;78
17.05.2024 09:52;Kurs Analiza danych w Microsoft Excel;Failed;excel-analiza-danych;75;79
15.05.2024 20:10;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;44;80
15.05.2024 09:43;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;76;81
14.05.2024 17:51;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;77;82
13.05.2024 13:24;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;78;83
13.05.2024 07:27;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;79;84
12.05.2024 16:57;KajoDataSpace;Paid;kajodataspace;80;85
11.05.2024 22:12;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;81;86
10.05.2024 21:04;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;70;87
10.05.2024 17:11;Subscription creation;Paid;kajodataspace;82;88
07.05.2024 09:49;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;83;89
07.05.2024 06:45;Subscription creation;Paid;kajodataspace;84;90
06.05.2024 10:36;Subscription creation;Paid;kajodataspace;83;91
04.05.2024 16:19;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;85;92
02.05.2024 17:09;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;86;93
02.05.2024 08:54;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;87;94
01.05.2024 14:35;Subscription creation;Paid;kajodataspace;88;95
28.04.2024 18:54;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;89;96
28.04.2024 18:52;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;90;97
28.04.2024 18:43;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;91;98
28.04.2024 18:27;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;92;99
28.04.2024 18:18;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;93;100
28.04.2024 18:02;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;94;101
28.04.2024 18:01;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;95;102
28.04.2024 16:59;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;96;103
28.04.2024 16:17;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;97;104
28.04.2024 16:08;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;98;105
28.04.2024 15:40;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;99;106
28.04.2024 15:39;Pakiet Kursów Analiza Danych w Excelu i SQL;Failed;pakiet-excel-sql;99;107
28.04.2024 14:36;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;66;108
28.04.2024 14:22;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;16;109
28.04.2024 14:11;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;100;110
28.04.2024 14:05;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;101;111
28.04.2024 12:53;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;102;112
28.04.2024 12:47;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;103;113
28.04.2024 10:45;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;104;114
28.04.2024 09:29;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;105;115
28.04.2024 06:00;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;106;116
27.04.2024 22:38;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;67;117
27.04.2024 21:59;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;107;118
27.04.2024 15:28;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;108;119
27.04.2024 10:59;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;109;120
26.04.2024 19:54;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;110;121
26.04.2024 18:52;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;111;122
26.04.2024 16:45;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;112;123
26.04.2024 14:59;Kurs Analiza danych w Microsoft Excel;Paid;;113;124
26.04.2024 12:09;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;114;125
26.04.2024 12:07;Subscription creation;Paid;kajodataspace;114;126
26.04.2024 10:13;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;115;127
25.04.2024 20:48;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;116;128
25.04.2024 17:27;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;117;129
25.04.2024 12:21;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;118;130
23.04.2024 19:42;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;119;131
23.04.2024 15:37;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;120;132
23.04.2024 13:44;Subscription creation;Paid;kajodataspace;121;133
20.04.2024 11:14;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;122;134
19.04.2024 08:12;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;123;135
18.04.2024 15:59;KajoDataSpace;Paid;kajodataspace;124;136
17.04.2024 06:38;KajoDataSpace;Paid;kajodataspace;125;137
16.04.2024 16:22;KajoDataSpace;Paid;kajodataspace;126;138
15.04.2024 12:55;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;127;139
15.04.2024 11:56;Subscription creation;Paid;kajodataspace;128;140
14.04.2024 16:50;KajoDataSpace;Paid;kajodataspace;129;141
13.04.2024 10:03;KajoDataSpace;Paid;kajodataspace;130;142
12.04.2024 19:17;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;131;143
12.04.2024 16:20;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;132;144
11.04.2024 14:08;Subscription creation;Paid;kajodataspace;133;145
11.04.2024 11:23;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;134;146
10.04.2024 22:37;KajoDataSpace;Paid;kajodataspace;135;147
10.04.2024 18:48;KajoDataSpace;Paid;kajodataspace;136;148
10.04.2024 18:05;Subscription creation;Paid;kajodataspace;105;149
10.04.2024 18:03;Subscription creation;Failed;kajodataspace;105;149
07.04.2024 12:51;Pakiet nagrañ 5 webinarów: Zmiana bran¿y i praca analityka;Paid;pakiet-webinarow-zmiana-pracy-na-analityka;135;150
05.04.2024 21:08;Subscription creation;Paid;kajodataspace;137;151
05.04.2024 15:02;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;113;152
05.04.2024 08:24;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;138;153
04.04.2024 07:59;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;139;154
03.04.2024 21:32;Pakiet nagrañ 5 webinarów: Zmiana bran¿y i praca analityka;Paid;pakiet-webinarow-zmiana-pracy-na-analityka;140;155
03.04.2024 16:55;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;141;156
03.04.2024 13:09;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;142;157
03.04.2024 11:50;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;143;158
03.04.2024 10:45;KajoDataSpace;Paid;kajodataspace;144;159
02.04.2024 22:58;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;145;160
02.04.2024 22:53;Subscription creation;Paid;kajodataspace;145;161
02.04.2024 12:26;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;146;162
01.04.2024 19:26;KajoDataSpace;Paid;kajodataspace;147;163
31.03.2024 15:34;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;148;164
30.03.2024 17:10;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;149;165
29.03.2024 09:13;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;3;166
27.03.2024 14:20;Subscription creation;Paid;kajodataspace;150;167
26.03.2024 16:15;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;151;168
25.03.2024 19:33;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;152;169
25.03.2024 17:20;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;153;170
24.03.2024 12:14;KajoDataSpace;Paid;kajodataspace;50;171
24.03.2024 12:10;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;50;172
23.03.2024 20:28;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;154;173
23.03.2024 11:49;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;155;174
22.03.2024 21:03;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;156;175
22.03.2024 13:04;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;157;176
21.03.2024 19:08;Subscription creation;Paid;kajodataspace;158;177
21.03.2024 11:30;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;159;178
20.03.2024 18:41;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;160;179
20.03.2024 12:20;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;161;180
20.03.2024 12:04;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;162;181
20.03.2024 11:58;Subscription creation;Paid;kajodataspace;154;182
20.03.2024 10:52;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;163;183
18.03.2024 17:55;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;164;184
17.03.2024 09:30;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;165;185
15.03.2024 07:46;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;166;186
13.03.2024 17:34;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;167;187
12.03.2024 16:10;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;168;188
12.03.2024 15:24;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;169;189
11.03.2024 12:59;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;170;190
11.03.2024 07:25;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;171;191
10.03.2024 17:55;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;172;192
10.03.2024 17:53;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;173;193
10.03.2024 17:52;Pakiet Kursów Analiza Danych w Excelu i SQL;Failed;pakiet-excel-sql;173;194
10.03.2024 17:50;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;174;195
10.03.2024 17:41;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;175;196
10.03.2024 17:37;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;176;197
10.03.2024 17:35;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;177;198
10.03.2024 17:34;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;178;199
10.03.2024 17:30;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;179;200
10.03.2024 17:23;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;;180;201
10.03.2024 16:57;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;181;202
10.03.2024 16:55;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;182;203
10.03.2024 16:52;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;20;204
10.03.2024 16:11;KajoDataSpace;Paid;kajodataspace;183;205
10.03.2024 15:43;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;184;206
10.03.2024 14:54;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;185;207
